,lat,long,stop_name,Information_Industry_%,2015_med_inc,subway line,COMPLETE_NAME
0,40.575928999999995,-73.976747,W 8 St.-New York Aquarium,1.8,30889,FQ,W 8 ST-AQUARIUM FQ
1,40.576234,-73.967561,Ocean Parkway,0.5,22384,Q,OCEAN PKWY Q
2,40.5769,-73.980846,Coney Island-Stillwell Ave.,1.8,30889,DFNQ,CONEY IS-STILLW DFNQ
3,40.577985999999996,-73.960258,Brighton Beach,0.0,28750,BQ,BRIGHTON BEACH BQ
4,40.580576,-73.97444300000001,Neptune Ave.,0.8,53158,F,NEPTUNE AV F
5,40.585734,-73.954371,Sheepshead Bay,2.8,29759,BQ,SHEEPSHEAD BAY BQ
6,40.588066,-73.983498,Bay 50 St.,2.1,50189,D,BAY 50 ST D
7,40.590266,-73.974051,Ave. X,0.7,44766,F,AVENUE X F
8,40.591165999999994,-73.796173,Beach 67 St.,2.1,61458,A,BEACH 67 ST A
9,40.592292,-73.789153,Beach 60 St.,3.6,58320,A,BEACH 60 ST A
10,40.592724,-73.978227,86 St.,0.7,44766,N,86 ST N
11,40.592897,-73.775715,Beach 44 St.,0.7,35531,A,BEACH 44 ST A
12,40.59502,-73.95512,Neck Rd.,0.4,56797,Q,NECK RD BQ
13,40.595469,-73.76791899999999,Beach 36 St.,1.7,39271,A,BEACH 36 ST A
14,40.596459,-73.978943,Ave. U,3.3,41759,N,AVENUE U N
15,40.596897,-73.973137,Ave. U,0.0,52721,F,AVENUE U F
16,40.597889,-73.986958,25 Ave.,4.2,55938,D,25 AV D
17,40.598991,-73.955828,Ave. U,3.0,40675,Q,AVENUE U BQ
18,40.59967,-73.761596,Beach 25 St.,1.7,39271,A,BEACH 25 ST A
19,40.601898,-73.993538,Bay Parkway,2.3,44875,D,BAY PKWY D
20,40.603212,-73.980199,Kings Highway,0.9,59056,N,KINGS HWY N
21,40.603999,-73.972124,Kings Highway,3.9,52774,F,KINGS HWY F
22,40.604587,-73.998007,20 Ave.,3.2,41786,D,20 AV D
23,40.604657,-73.754178,Far Rockaway-Mott Ave.,0.4,59544,A,FAR ROCKAWAY A
24,40.607602,-74.001491,18 Ave.,5.1,47917,D,18 AV D
25,40.608007,-73.815967,Broad Channel,4.0,71667,A,BROAD CHANNEL AS
26,40.608835,-73.957769,Kings Highway,4.2,41850,BQ,KINGS HWY BQ
27,40.609041,-73.972904,Ave. P,1.0,40227,F,AVENUE P F
28,40.610572,-73.981613,Bay Parkway,2.1,48574,N,BAY PKWY N
29,40.614018,-74.000378,79 St.,3.2,47336,D,79 ST D
30,40.614304,-73.97391,Ave. N,0.4,47031,F,AVENUE N F
31,40.617340999999996,-73.98484,20 Ave.,7.2,48261,N,20 AV N
