GEO.display-label,GEOid,GEOid2,Information_Industry_#,Information_Industry_%,HHI_200+_#,HHI_200+_%
"Census Tract 1, Bronx County, New York",1400000US36005000100,36005000100,0,-,0,-
"Census Tract 2, Bronx County, New York",1400000US36005000200,36005000200,21,0.9,24,1.7
"Census Tract 4, Bronx County, New York",1400000US36005000400,36005000400,129,4.8,43,2.2
"Census Tract 16, Bronx County, New York",1400000US36005001600,36005001600,16,0.8,53,2.7
"Census Tract 19, Bronx County, New York",1400000US36005001900,36005001900,13,1.2,0,0.0
"Census Tract 20, Bronx County, New York",1400000US36005002000,36005002000,77,3.1,31,1.0
"Census Tract 23, Bronx County, New York",1400000US36005002300,36005002300,26,2.2,0,0.0
"Census Tract 24, Bronx County, New York",1400000US36005002400,36005002400,0,0.0,30,100.0
"Census Tract 25, Bronx County, New York",1400000US36005002500,36005002500,0,0.0,0,0.0
"Census Tract 27.01, Bronx County, New York",1400000US36005002701,36005002701,17,1.5,0,0.0
"Census Tract 27.02, Bronx County, New York",1400000US36005002702,36005002702,55,3.5,0,0.0
"Census Tract 28, Bronx County, New York",1400000US36005002800,36005002800,231,9.6,19,0.8
"Census Tract 31, Bronx County, New York",1400000US36005003100,36005003100,0,0.0,0,0.0
"Census Tract 33, Bronx County, New York",1400000US36005003300,36005003300,0,0.0,0,0.0
"Census Tract 35, Bronx County, New York",1400000US36005003500,36005003500,0,0.0,0,0.0
"Census Tract 37, Bronx County, New York",1400000US36005003700,36005003700,0,0.0,0,0.0
"Census Tract 38, Bronx County, New York",1400000US36005003800,36005003800,0,0.0,31,8.4
"Census Tract 39, Bronx County, New York",1400000US36005003900,36005003900,23,0.8,24,1.3
"Census Tract 40.01, Bronx County, New York",1400000US36005004001,36005004001,8,1.3,0,0.0
"Census Tract 41, Bronx County, New York",1400000US36005004100,36005004100,0,0.0,32,1.5
"Census Tract 42, Bronx County, New York",1400000US36005004200,36005004200,20,1.0,0,0.0
"Census Tract 43, Bronx County, New York",1400000US36005004300,36005004300,0,0.0,22,1.1
"Census Tract 44, Bronx County, New York",1400000US36005004400,36005004400,0,0.0,0,0.0
"Census Tract 46, Bronx County, New York",1400000US36005004600,36005004600,14,2.4,9,1.3
"Census Tract 48, Bronx County, New York",1400000US36005004800,36005004800,18,1.1,0,0.0
"Census Tract 50.01, Bronx County, New York",1400000US36005005001,36005005001,68,3.5,25,1.7
"Census Tract 50.02, Bronx County, New York",1400000US36005005002,36005005002,52,2.0,0,0.0
"Census Tract 51, Bronx County, New York",1400000US36005005100,36005005100,7,0.4,0,0.0
"Census Tract 52, Bronx County, New York",1400000US36005005200,36005005200,18,2.4,9,1.1
"Census Tract 53, Bronx County, New York",1400000US36005005300,36005005300,39,3.9,6,0.4
"Census Tract 54, Bronx County, New York",1400000US36005005400,36005005400,14,0.5,0,0.0
"Census Tract 56, Bronx County, New York",1400000US36005005600,36005005600,5,0.6,0,0.0
"Census Tract 59.02, Bronx County, New York",1400000US36005005902,36005005902,0,0.0,56,5.3
"Census Tract 60, Bronx County, New York",1400000US36005006000,36005006000,14,2.7,18,5.2
"Census Tract 61, Bronx County, New York",1400000US36005006100,36005006100,40,2.5,15,0.7
"Census Tract 62, Bronx County, New York",1400000US36005006200,36005006200,119,4.3,0,0.0
"Census Tract 63, Bronx County, New York",1400000US36005006300,36005006300,44,2.2,30,1.6
"Census Tract 64, Bronx County, New York",1400000US36005006400,36005006400,68,4.7,0,0.0
"Census Tract 65, Bronx County, New York",1400000US36005006500,36005006500,37,1.7,12,0.6
"Census Tract 67, Bronx County, New York",1400000US36005006700,36005006700,33,1.4,26,1.1
"Census Tract 68, Bronx County, New York",1400000US36005006800,36005006800,0,0.0,0,0.0
"Census Tract 69, Bronx County, New York",1400000US36005006900,36005006900,69,2.6,18,0.7
"Census Tract 70, Bronx County, New York",1400000US36005007000,36005007000,17,0.9,0,0.0
"Census Tract 71, Bronx County, New York",1400000US36005007100,36005007100,33,3.3,18,2.1
"Census Tract 72, Bronx County, New York",1400000US36005007200,36005007200,13,0.6,0,0.0
"Census Tract 73, Bronx County, New York",1400000US36005007300,36005007300,0,0.0,0,0.0
"Census Tract 74, Bronx County, New York",1400000US36005007400,36005007400,53,3.3,0,0.0
"Census Tract 75, Bronx County, New York",1400000US36005007500,36005007500,24,1.2,12,0.6
"Census Tract 76, Bronx County, New York",1400000US36005007600,36005007600,52,2.2,23,1.4
"Census Tract 77, Bronx County, New York",1400000US36005007700,36005007700,0,0.0,0,0.0
"Census Tract 78, Bronx County, New York",1400000US36005007800,36005007800,114,4.7,14,0.7
"Census Tract 79, Bronx County, New York",1400000US36005007900,36005007900,29,1.3,68,2.9
"Census Tract 83, Bronx County, New York",1400000US36005008300,36005008300,0,0.0,47,2.2
"Census Tract 84, Bronx County, New York",1400000US36005008400,36005008400,27,2.6,19,2.8
"Census Tract 85, Bronx County, New York",1400000US36005008500,36005008500,0,0.0,0,0.0
"Census Tract 86, Bronx County, New York",1400000US36005008600,36005008600,0,0.0,0,0.0
"Census Tract 87, Bronx County, New York",1400000US36005008700,36005008700,56,2.5,0,0.0
"Census Tract 89, Bronx County, New York",1400000US36005008900,36005008900,35,3.0,0,0.0
"Census Tract 90, Bronx County, New York",1400000US36005009000,36005009000,36,3.3,20,1.7
"Census Tract 92, Bronx County, New York",1400000US36005009200,36005009200,17,0.8,52,2.9
"Census Tract 93, Bronx County, New York",1400000US36005009300,36005009300,88,4.4,0,0.0
"Census Tract 96, Bronx County, New York",1400000US36005009600,36005009600,37,4.0,9,1.2
"Census Tract 98, Bronx County, New York",1400000US36005009800,36005009800,24,1.0,114,6.6
"Census Tract 110, Bronx County, New York",1400000US36005011000,36005011000,0,0.0,0,0.0
"Census Tract 115.02, Bronx County, New York",1400000US36005011502,36005011502,0,0.0,10,0.7
"Census Tract 117, Bronx County, New York",1400000US36005011700,36005011700,0,0.0,9,1.6
"Census Tract 118, Bronx County, New York",1400000US36005011800,36005011800,96,4.1,105,6.9
"Census Tract 119, Bronx County, New York",1400000US36005011900,36005011900,10,0.5,15,0.8
"Census Tract 121.01, Bronx County, New York",1400000US36005012101,36005012101,0,0.0,3,0.3
"Census Tract 121.02, Bronx County, New York",1400000US36005012102,36005012102,13,2.5,0,0.0
"Census Tract 123, Bronx County, New York",1400000US36005012300,36005012300,36,2.4,15,1.0
"Census Tract 125, Bronx County, New York",1400000US36005012500,36005012500,0,0.0,35,2.6
"Census Tract 127.01, Bronx County, New York",1400000US36005012701,36005012701,11,1.7,0,0.0
"Census Tract 129.01, Bronx County, New York",1400000US36005012901,36005012901,8,0.8,0,0.0
"Census Tract 130, Bronx County, New York",1400000US36005013000,36005013000,30,4.0,12,2.6
"Census Tract 131, Bronx County, New York",1400000US36005013100,36005013100,7,0.4,0,0.0
"Census Tract 132, Bronx County, New York",1400000US36005013200,36005013200,40,1.1,185,7.5
"Census Tract 133, Bronx County, New York",1400000US36005013300,36005013300,35,1.4,0,0.0
"Census Tract 135, Bronx County, New York",1400000US36005013500,36005013500,8,0.6,6,0.5
"Census Tract 138, Bronx County, New York",1400000US36005013800,36005013800,0,0.0,86,7.1
