W 8 St.-New York Aquarium FQ,W 8 ST-AQUARIUM FQ
Ocean Parkway Q,OCEAN PKWY Q
Coney Island-Stillwell Ave. DFNQ,CONEY IS-STILLW DFNQ
Brighton Beach BQ,BRIGHTON BEACH BQ
Neptune Ave. F,NEPTUNE AV F
Sheepshead Bay BQ,SHEEPSHEAD BAY BQ
Bay 50 St. D,BAY 50 ST D
Ave. X F,AVENUE X F
Beach 67 St. A,BEACH 67 ST A
Beach 60 St. A,BEACH 60 ST A
86 St. N,86 ST N
Beach 44 St. A,BEACH 44 ST A
Neck Rd. Q,NECK RD BQ
Beach 36 St. A,BEACH 36 ST A
Ave. U N,AVENUE U N
Ave. U F,AVENUE U F
25 Ave. D,25 AV D
Ave. U Q,AVENUE U BQ
Beach 25 St. A,BEACH 25 ST A
Bay Parkway D,BAY PKWY D
Kings Highway N,KINGS HWY N
Kings Highway F,KINGS HWY F
20 Ave. D,20 AV D
Far Rockaway-Mott Ave. A,FAR ROCKAWAY A
18 Ave. D,18 AV D
Broad Channel A,BROAD CHANNEL AS
Kings Highway BQ,KINGS HWY BQ
Ave. P F,AVENUE P F
Bay Parkway N,BAY PKWY N
79 St. D,79 ST D
Ave. N F,AVENUE N F
20 Ave. N,20 AV N
Bay Ridge-95 St. R,BAY RIDGE AV R
Ave. M Q,SENECA AVE M
71 St. D,71 ST D
Bay Parkway F,BAY PKWY F
18 Ave. N,18 AV N
86 St. R,86 ST R
New Utrecht Ave. N,NEW UTRECHT AV ND
Ave. I F,AVENUE I F
Ave. J Q,AVENUE U N
62 St. D,36 ST DNR
18 Ave. F,18 AV F
77 St. R,77 ST R
Ave. H Q,AVENUE U N
Fort Hamilton Parkway N,FT HAMILTON PKY N
55 St. D,55 ST D
Flatbush Ave.-Brooklyn College 25,FLATBUSH AV-B.C 25
8 Ave. N,8 AV N
Newkirk Plaza BQ,NEWKIRK PLAZA BQ
Ditmas Ave. F,DITMAS AV F
Bay Ridge Ave. R,BAY RIDGE AV R
50 St. D,50 ST D
Newkirk Ave. 25,NEWKIRK AV 25
Cortelyou Rd. Q,CORTELYOU RD BQ
Fort Hamilton Parkway D,FT HAMILTON PKY D
59 St. NR,59 ST NR
Church Ave. FG,CHURCH AV FG
Beverly Rd. Q,BEVERLEY ROAD BQ
Beverly Rd. 25,BEVERLY RD 25
53 St. R,53 ST R
Canarsie-Rockaway Parkway L,CANARSIE-ROCKAW L
9 Ave. D,9 AV D
45 St. R,45 ST R
Church Ave. BQ,CHURCH AV BQ
Church Ave. 25,CHURCH AV 25
East 105 St. L,EAST 105 ST L
Fort Hamilton Parkway FG,FT HAMILTON PKY FG
36 St. DNR,36 ST DNR
Parkside Ave. Q,PARKSIDE AV BQ
Winthrop St. 25,WINTHROP ST 25
New Lots Ave. L,NEW LOTS L
15 St.-Prospect Park FG,15 ST-PROSPECT FG
Howard Beach-J.F.K. Airport A,HOWARD BCH JFK A
25 St. R,25 ST R
Saratoga Ave. 3,5 AV/53 ST EM
Rockaway Ave. 3,ROCKAWAY AV 3
Prospect Park BQ,PROSPECT PARK BQS
Sterling St. 25,STERLING ST 25
Junius St. 3,JUNIUS ST 3
Livonia Ave. L,LIVONIA AV L
Pennsylvania Ave. 3,34 ST-PENN STA ACE
Sutter Ave.-Rutland Rd. 3,SUTTER AV-RUTLD 3
Prospect Ave. R,PROSPECT AV R
Van Siclen Ave. 3,VAN SICLEN AV 3
New Lots Ave. 3,NEW LOTS AV 3
7 Ave. FG,7 AV FG
President St. 25,PRESIDENT ST 25
Sutter Ave. L,SUTTER AV L
Crown Hts-Utica Ave. 34,CROWN HTS-UTICA 34
Kingston Ave. 3,KINGSTON AV 3
Aqueduct-North Conduit Ave. A,AQUEDUCT N.COND A
Nostrand Ave. 3,NOSTRAND AV 3
4 Ave.-9 St. FGR,4 AV-9 ST DFGMNR
Franklin Ave. 2345,FRANKLIN AV 2345S
Eastern Parkway-Brooklyn Museum 23,EASTN PKWY-MUSM 23
Van Siclen Ave. C,VAN SICLEN AVE C
Shepherd Ave. C,SHEPHERD AV C
Liberty Ave. C,LIBERTY AV C
Smith-9 Sts. FG,SMITH-9 ST FG
Grand Army Plaza 23,GRAND ARMY PLAZ 23
Atlantic Ave. L,ATLANTIC AV L
Euclid Ave. AC,EUCLID AV AC
Grant Ave. A,GRANT AV A
Alabama Ave. J,ALABAMA AV J
Union St. R,UNION ST R
7 Ave. BQ,7 AV BQ
Van Siclen Ave. JZ,VAN SICLEN AV JZ
Rockaway Ave. C,ROCKAWAY AV C
Broadway Junction ACJLZ,BROADWAY JCT ACJLZ
Ralph Ave. C,RALPH AV C
Utica Ave. AC,UTICA AV AC
80 St. A,80 ST A
Cleveland St. J,CLEVELAND ST J
Kingston-Throop Aves. C,KINGSTON-THROOP C
88 St. A,88 ST A
Rockaway Blvd. A,ROCKAWAY BLVD A
Nostrand Ave. AC,NOSTRAND AV AC
Bergen St. 23,BERGEN ST 23
Carroll St. FG,CARROLL ST FG
Franklin Ave. C,FRANKLIN AV ACS
Norwood Ave. JZ,NORWOOD AV JZ
Bushwick Ave.-Aberdeen St. L,BUSHWICK AV L
Clinton-Washington Aves. C,CLINTON-WASH AV C
Chauncey St. JZ,CHAUNCEY ST JZ
Crescent St. JZ,CRESCENT ST JZ
Atlantic Ave. 45,ATLANTIC AV L
Atlantic Ave.-Barclays Center 23BDNQR,ATL AV-BARCLAY 2345BDNQR
Lafayette Ave. C,LAFAYETTE AV C
Halsey St. J,HALSEY ST J
Bergen St. FG,BERGEN ST FG
Fulton St. G,FULTON ST G
Nevins St. 2345,NEVINS ST 2345
Clinton-Washington Aves. G,CLINTON-WASH AV G
Hoyt St.- Schermerhorn St. ACG,HOYT-SCHER ACG
Classon Ave. G,CLASSON AV G
Wilson Ave. L,LIVONIA AV L
Bedford-Nostrand Aves. G,BEDFORD-NOSTRAN G
DeKalb Ave. BQR,DEKALB AV BDNQR
Gates Ave. JZ,GATES AV JZ
Cypress Hills J,CYPRESS HILLS J
Hoyt St. 2,HOYT ST 23
Hoyt St.-Fulton Mall 3,FULTON ST G
75 St.-Elderts Ln. JZ,75 ST-ELDERTS JZ
Jay St.-MetroTech ACFR,JAY ST-METROTEC ACF
85 St.-Forest Parkway J,85 ST-FOREST PK J
Borough Hall 2345,BOROUGH HALL 2345R
Court St.-Borough Hall R,BOROUGH HALL R2345
Kosciuszko St. J,KOSCIUSZKO ST J
Woodhaven Blvd. JZ,WOODHAVEN BLVD JZ
Halsey St. L,HALSEY ST L
104 St. JZ,104 ST JZ
Myrtle-Willoughby Aves. G,MYRTLE-WILLOUGH G
111 St. J,111 ST J
Myrtle Ave. JMZ,MYRTLE AV JMZ
Clark St. 23,CLARK ST 23
Central Ave. M,CENTRAL AV M
Knickerbocker Ave. M,KNICKERBOCKER M
High St. AC,HIGH ST AC
Myrtle-Wyckoff Aves. LM,MYRTLE-WYCKOFF LM
Flushing Ave. G,FLUSHING AV G
121 St. JZ,121 ST JZ
Sutphin Blvd.-Archer Ave.-J.F.K. Airport EJZ,SUTPHIN-ARCHER EJZ
Flushing Ave. JM,FLUSHING AV JM
Jamaica-Van Wyck E,JAMAICA VAN WK E
York St. F,YORK ST F
Jamaica Center-Parsons-Archer EJZ,JAMAICA CENTER EJZ
Whitehall St.-South Ferry R,WHITEHALL S-FRY R1
South Ferry 1,SOUTH FERRY 1R
Seneca Ave. M,SENECA AVE M
Lorimer St. JM,LORIMER ST JM
DeKalb Ave. L,DEKALB AV L
Bowling Green 45,BOWLING GREEN 45
Forest Ave. M,FOREST AVE M
Broadway G,BROADWAY G
Sutphin Blvd. F,SUTPHIN BLVD F
Morgan Ave. L,MORGAN AV L
Fresh Pond Rd. M,FRESH POND RD M
Rector St. R,RECTOR ST R
Broad St. JZ,BROAD ST JZ
Parsons Blvd. F,PARSONS BLVD F
Jefferson St. L,JEFFERSON ST L
Hewes St. JM,HEWES ST JM
Wall St. 23,WALL ST 23
Montrose Ave. L,MONTROSE AV L
Rector St. 1,RECTOR ST 1
Wall St. 45,WALL ST 45
Marcy Ave. JMZ,MARCY AV JMZ
Briarwood-Van Wyck Blvd. F,BRIARWOOD EF
169 St. F,169 ST F
Fulton St. AC,FULTON ST ACJZ2345
Fulton St. 2345JZ,FULTON ST 2345ACJZ
Cortlandt St. R,CORTLANDT ST R
Grand St. L,GRAND ST L
Middle Village-Metropolitan Ave. M,METROPOLITAN AV M
Jamaica-179 St. F,JAMAICA 179 ST F
Park Place 23,PARK PLACE 23ACE
World Trade Center E,WORLD TRADE CTR ACE23
City Hall R,CITY HALL R
Kew Gardens-Union Turnpike EF,KEW GARDENS EF
Metropolitan Ave. G,METROPOLITAN AV GL
Brooklyn Bridge-City Hall 456,BROOKLYN BRIDGE 456JZ
Lorimer St. L,LORIMER ST LG
Chambers St. JZ,CHAMBERS ST JZ456
East Broadway F,EAST BROADWAY F
Graham Ave. L,GRAHAM AV L
Chambers St. AC,CHAMBERS ST ACE23
Chambers St. 123,CHAMBERS ST 123
Bedford Ave. L,BEDFORD AV L
Canal St. 6JNQRZ,CANAL ST 1
Grand St. BD,GRAND ST BD
Delancey St.-Essex St. FJMZ,DELANCEY/ESSEX FJMZ
75 Ave. EF,75 AV EF
Franklin St. 1,FRANKLIN ST 1
Bowery JZ,BOWERY JZ
Canal St. ACE,CANAL ST ACE
Forest Hills-71 Ave. EFMR,FOREST HILLS 71 EFMR
Spring St. 6,SPRING ST 6
Canal St. 1,CANAL ST 1
2 Ave. F,2 AV F
Nassau Ave. G,NASSAU ST G
Prince St. NR,PRINCE ST NR
Broadway-Lafayette St. BDFM,B'WAY-LAFAYETTE BDFQ6
Spring St. CE,SPRING ST CE
Bleecker St.-Broadway-Lafayette St. 6,74 ST-BROADWAY 7EFMR
67 Ave. MR,67 AV MR
Houston St. 1,HOUSTON ST 1
63 Dr.-Rego Park MR,63 DR-REGO PARK MR
Astor Place 6,ASTOR PL 6
Greenpoint Ave. G,GREENPOINT AV G
8 St.-N.Y.U. NR,28 ST NR
1 Ave. L,1 AV L
3 Ave. L,3 AV L
W 4 St.- Washington Square ABCDEF,W 4 ST-WASH SQ ABCDEFM
West 4 St.-Wash Square M,W 4 ST-WASH SQ ABCDEFM
Christopher St.-Sheridan Square 1,CHRISTOPHER ST 1
Woodhaven Blvd. MR,WOODHAVEN BLVD MR
14 St.-Union Square 456LNQR,14 ST-UNION SQ 456LNQR
Grand Ave.-Newtown MR,GRAND-NEWTOWN MR
